name,urls
Jair Bolsonaro no Palácio do Planalto,https://www.youtube.com/watch?v=r50zxW-D7M0
Discurso antigo youtube,https://www.youtube.com/watch?v=ytstUHk8rg4
Pronunciamento,https://www.youtube.com/watch?v=ejd5ji8cWeg
Fala imóveis,https://www.youtube.com/watch?v=Y3jUe57yvZ4
Discurso,https://www.youtube.com/watch?v=3QhpQZbjodc
Pronunciamento,https://www.youtube.com/watch?v=0N78BUfVWOY
Pronunciamento TV Brasil,https://www.youtube.com/watch?v=Pl660H3t808
Pronunciamento,https://www.youtube.com/watch?v=G-h92uqq_zc
Falas,https://www.youtube.com/watch?v=wMcoa9CXbyY
Fala,https://www.youtube.com/watch?v=1AWrirTA2Sw
Discurso,https://www.youtube.com/watch?v=dPRU5xbCl54
Discurso ONU,https://www.youtube.com/watch?v=-Gmn5kywzqc
Discurso Turismo,https://www.youtube.com/watch?v=Lu36Fy06q7Y
Discurso Forum mundial,https://www.youtube.com/watch?v=98bSXrN08ys
Discurso Cascavel,https://www.youtube.com/watch?v=KKkTIt03sDI
Discurso,https://www.youtube.com/watch?v=QGMnj4UrboE
Discurso,https://www.youtube.com/watch?v=4dn65zo2LsE
